date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,y2,% increase
1/27/20,California,2,0,0,0,39512223,246.1,343,0,0,2,0,0,0,,,
2/3/20,California,6,0,0,0,39512223,246.1,343,4,0,5,1,0,0,,,
2/10/20,California,7,0,0,0,39512223,246.1,343,1,0,9,1,0,0,0,,-0.75
2/17/20,California,7,0,0,0,39512223,246.1,343,0,0,12,1,0,0,0,,-1
2/24/20,California,11,0,0,0,39512223,246.1,343,4,0,31,1,0,0,0,,
3/2/20,California,38,0,0.1,0,39512223,246.1,343,27,0,31,1,0,0,1,,5.75
3/9/20,California,172,2,0.4,0,39512223,246.1,343,134,2,31,1,0,0,1,,3.962962963
3/16/20,California,588,11,1.5,0,39512223,246.1,343,416,9,31,1,0,0,1,,2.104477612
3/23/20,California,2240,39,5.7,0.1,39512223,246.1,343,1652,28,32,2,1,2,1,,2.971153846
3/30/20,California,7421,146,18.8,0.4,39512223,246.1,343,5181,107,32,2,1,2,1,,2.136198547
4/6/20,California,16284,386,41.2,1,39512223,246.1,343,8863,240,32,2,1,2,0,,0.710673615
4/13/20,California,24334,725,61.6,1.8,39512223,246.1,343,8050,339,32,2,1,2,0,,-0.091729663
4/20/20,California,33862,1223,85.7,3.1,39512223,246.1,343,9528,498,32,2,1,2,0,,0.183602484
4/27/20,California,45208,1800,114.4,4.6,39512223,246.1,343,11346,577,32,2,1,2,0,,0.190806045
5/4/20,California,56333,2297,142.6,5.8,39512223,246.1,343,11125,497,32,2,1,2,0,,-0.01947823
,,,,,,,,,,,,,,,,,1.345722268
,,,,,,,,,,,,,,,,,1.72109647
