date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,y2,% increase
3/9/20,Colorado,12,0,0.2,0,5758736,50.8,55,0,0,0,0,0,0,,,
3/16/20,Colorado,161,2,2.8,0,5758736,50.8,55,149,2,0,1,0,0,,,
3/23/20,Colorado,721,10,12.5,0.2,5758736,50.8,55,560,8,0,1,0,0,1,,2.758389262
3/30/20,Colorado,2628,51,45.6,0.9,5758736,50.8,55,1907,41,0,1,0,0,1,,2.405357143
4/6/20,Colorado,5172,150,89.8,2.6,5758736,50.8,55,2544,99,0,1,0,0,1,,0.334032512
4/13/20,Colorado,7691,308,133.6,5.4,5758736,50.8,55,2519,158,0,1,0,0,0,,-0.009827044
4/20/20,Colorado,10106,448,175.5,7.8,5758736,50.8,55,2415,140,0,1,0,0,0,,-0.041286225
4/27/20,Colorado,13804,705,239.7,12.2,5758736,50.8,55,3698,257,0,1,0,0,1,,0.53126294
5/4/20,Colorado,16799,849,291.7,14.7,5758736,50.8,55,2995,144,0,1,0,0,0,,-0.190102758
,,,,,,,,,,,,,,,,,0.826832261
,,,,,,,,,,,,,,,,,1.72109647
