date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,y2,% increase
3/2/20,Georgia,2,0,0,0,10617423,173.7,112,0,0,0,0,0,0,,,
3/9/20,Georgia,17,0,0.2,0,10617423,173.7,112,15,0,0,0,0,0,,,
3/16/20,Georgia,118,1,1.1,0,10617423,173.7,112,101,1,0,2,1,0,1,,5.733333333
3/23/20,Georgia,800,25,7.5,0.2,10617423,173.7,112,682,24,0,2,2,0,1,,5.752475248
3/30/20,Georgia,3032,102,28.6,1,10617423,173.7,112,2232,77,0,2,2,0,1,,2.272727273
4/6/20,Georgia,7558,294,71.2,2.8,10617423,173.7,112,4526,192,0,2,2,0,0,,1.027777778
4/13/20,Georgia,13125,479,123.6,4.5,10617423,173.7,112,5567,185,0,2,2,0,0,,0.230004419
4/20/20,Georgia,18447,767,173.7,7.2,10617423,173.7,112,5322,288,0,2,2,0,0,,-0.044009341
4/27/20,Georgia,23229,981,218.8,9.2,10617423,173.7,112,4782,214,0,2,2,0,0,,-0.101465614
5/4/20,Georgia,28350,1228,267,11.6,10617423,173.7,112,5121,247,0,2,2,0,0,,0.070890841
,,,,,,,,,,,,,,,,,1.867716742
,,,,,,,,,,,,,,,,,1.72109647
