date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,y2,percent increase
3/9/20,Indiana,4,0,0.1,0,6732219,183.4,101,0,0,0,0,0,0,,,
3/16/20,Indiana,24,1,0.4,0,6732219,183.4,101,20,1,0,0,0,0,,,
3/23/20,Indiana,259,7,3.9,0.1,6732219,183.4,101,235,6,0,0,0,0,1,,10.75
3/30/20,Indiana,1788,35,26.6,0.5,6732219,183.4,101,1529,28,0,0,0,0,1,,5.506382979
4/6/20,Indiana,4956,141,73.6,2.1,6732219,183.4,101,3168,106,0,0,0,0,0,,1.071942446
4/13/20,Indiana,8236,350,122.3,5.2,6732219,183.4,101,3280,209,0,0,0,0,0,,0.035353535
4/20/20,Indiana,11686,569,173.6,8.5,6732219,183.4,101,3450,219,0,0,0,0,0,,0.051829268
4/27/20,Indiana,16137,932,239.7,13.8,6732219,183.4,101,4451,363,0,0,0,0,0,,0.290144928
5/4/20,Indiana,20855,1264,309.8,18.8,6732219,183.4,101,4718,332,0,0,0,0,0,,0.05998652
,,,,,,,,,,,,,,,,,2.537948525
