date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,y2,% increase
3/9/20,Kansas,1,0,0,0,2913314,35.4,56,0,0,1,1,0,0,,,
3/16/20,Kansas,11,1,0.4,0,2913314,35.4,56,10,1,2,2,0,0,,,
3/23/20,Kansas,82,2,2.8,0.1,2913314,35.4,56,71,1,2,2,1,1,1,,6.1
3/30/20,Kansas,373,9,12.8,0.3,2913314,35.4,56,291,7,2,2,2,2,1,,3.098591549
4/6/20,Kansas,853,25,29.3,0.9,2913314,35.4,56,480,16,2,2,2,2,0,,0.649484536
4/13/20,Kansas,1382,63,47.4,2.2,2913314,35.4,56,529,38,2,2,2,2,0,,0.102083333
4/20/20,Kansas,2030,101,69.7,3.5,2913314,35.4,56,648,38,2,2,2,2,0,,0.224952741
4/27/20,Kansas,3406,126,116.9,4.3,2913314,35.4,56,1376,25,2,2,2,2,0,,1.12345679
5/4/20,Kansas,5387,154,184.9,5.3,2913314,35.4,56,1981,28,2,2,2,2,0,,0.439680233
,,,,,,,,,,,,,,,,,1.67689274
