date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,y2,% increase
3/9/20,Kentucky,5,0,0.1,0,4467673,111.3,74,0,0,7,5,0,0,,,
3/16/20,Kentucky,22,1,0.5,0,4467673,111.3,74,17,1,7,5,0,0,,,
3/23/20,Kentucky,124,3,2.8,0.1,4467673,111.3,74,102,2,8,6,1,1,1,,5
3/30/20,Kentucky,480,11,10.7,0.3,4467673,111.3,74,356,8,8,6,3,2,1,,2.490196078
4/6/20,Kentucky,1057,52,23.7,1.2,4467673,111.3,74,577,41,8,6,3,2,0,,0.620786517
4/13/20,Kentucky,2048,106,45.8,2.4,4467673,111.3,74,991,54,8,6,3,2,0,,0.717504333
4/20/20,Kentucky,3050,155,68.3,3.5,4467673,111.3,74,1002,49,9,10,7,5,0,,0.011099899
4/27/20,Kentucky,4146,216,92.8,4.8,4467673,111.3,74,1096,61,9,10,7,5,0,,0.093812375
5/4/20,Kentucky,5370,267,120.2,6,4467673,111.3,74,1224,51,9,10,7,6,0,,0.116788321
,,,,,,,,,,,,,,,,,1.292883932
