date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,y2,% increase
3/9/20,Louisiana,1,0,0,0,4648794,111.3,108,0,0,1,0,0,0,,,
3/16/20,Louisiana,137,3,3,0.1,4648794,111.3,108,136,3,7,1,1,1,,,
3/23/20,Louisiana,1172,34,25.2,0.7,4648794,111.3,108,1035,31,7,1,1,1,1,,6.610294118
3/30/20,Louisiana,4024,186,86.6,4,4648794,111.3,108,2852,152,7,1,1,1,1,,1.755555556
4/6/20,Louisiana,14867,512,319.8,11,4648794,111.3,108,10843,326,34,1,1,1,1,,2.801893408
4/13/20,Louisiana,21016,884,452.1,19,4648794,111.3,108,6149,372,34,1,1,1,0,,-0.432906022
4/20/20,Louisiana,24523,1328,527.5,28.6,4648794,111.3,108,3507,444,34,1,1,1,0,,-0.42966336
4/27/20,Louisiana,27068,1697,582.3,36.5,4648794,111.3,108,2545,369,34,1,1,1,0,,-0.274308526
5/4/20,Louisiana,29673,1991,638.3,42.8,4648794,111.3,108,2605,294,36,1,1,1,0,,0.023575639
,,,,,,,,,,,,,,,,,1.436348687
