date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,y2,% increase
3/9/20,Maryland,6,0,0.1,0,6045680,610.8,53,0,0,3,6,1,1,,,
3/16/20,Maryland,39,0,0.7,0,6045680,610.8,53,33,0,3,6,1,1,,,
3/23/20,Maryland,290,3,4.8,0.1,6045680,610.8,53,251,3,3,6,2,2,1,,6.606060606
3/30/20,Maryland,1414,15,23.4,0.3,6045680,610.8,53,1124,12,3,6,2,2,1,,3.478087649
4/6/20,Maryland,4045,92,66.9,1.5,6045680,610.8,53,2631,77,3,6,2,2,0,,1.340747331
4/13/20,Maryland,8936,262,147.8,4.3,6045680,610.8,53,4891,170,3,6,2,2,0,,0.858988978
4/20/20,Maryland,13684,516,226.3,8.5,6045680,610.8,53,4748,254,3,6,2,2,0,,-0.029237375
4/27/20,Maryland,19487,944,322.3,15.6,6045680,610.8,53,5803,428,3,6,2,2,0,,0.222198821
5/4/20,Maryland,26509,1317,438.5,21.8,6045680,610.8,53,7022,373,3,6,2,2,0,,0.21006376
,,,,,,,,,,,,,,,,,1.812415681
