date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,y2,% increase
2/3/20,Massachusetts,1,0,0,0,6892503,858,73,0,0,0,0,0,0,,,
2/10/20,Massachusetts,1,0,0,0,6892503,858,73,0,0,0,0,0,0,,,
2/17/20,Massachusetts,1,0,0,0,6892503,858,73,0,0,0,0,0,0,,,
2/24/20,Massachusetts,1,0,0,0,6892503,858,73,0,0,0,0,0,0,,,
3/2/20,Massachusetts,2,0,0,0,6892503,858,73,1,0,1,1,1,1,,,
3/9/20,Massachusetts,41,0,0.6,0,6892503,858,73,39,0,1,1,2,2,1,,38
3/16/20,Massachusetts,197,0,2.9,0,6892503,858,73,156,0,4,3,2,2,1,,3
3/23/20,Massachusetts,777,9,11.3,0.1,6892503,858,73,580,9,6,5,3,4,1,,2.717948718
3/30/20,Massachusetts,5752,56,83.5,0.8,6892503,858,73,4975,47,13,14,3,4,1,,7.577586207
4/6/20,Massachusetts,13837,260,200.8,3.8,6892503,858,73,8085,204,20,23,3,5,0,,0.625125628
4/13/20,Massachusetts,26867,844,389.8,12.3,6892503,858,73,13030,584,21,25,4,6,0,,0.611626469
4/20/20,Massachusetts,39643,1809,575.2,26.3,6892503,858,73,12776,965,22,26,5,7,0,,-0.019493477
4/27/20,Massachusetts,56462,3003,819.2,43.6,6892503,858,73,16819,1194,25,29,5,8,0,,0.316452724
5/4/20,Massachusetts,69087,4090,1002.4,59.3,6892503,858,73,12625,1087,26,29,5,8,0,,-0.249360842
,,,,,,,,,,,,,,,,,5.842209492
