date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,y2,% increase
3/9/20,Minnesota,2,0,0,0,5639632,68.1,55,0,0,11,8,0,0,,,
3/16/20,Minnesota,54,0,1,0,5639632,68.1,55,52,0,14,12,1,1,,,
3/23/20,Minnesota,235,1,4.2,0,5639632,68.1,55,181,1,14,12,2,2,1,,2.480769231
3/30/20,Minnesota,576,10,10.2,0.2,5639632,68.1,55,341,9,15,13,3,3,0,,0.883977901
4/6/20,Minnesota,986,30,17.5,0.5,5639632,68.1,55,410,20,15,13,3,3,0,,0.202346041
4/13/20,Minnesota,1650,70,29.3,1.2,5639632,68.1,55,664,40,16,14,4,4,0,,0.619512195
4/20/20,Minnesota,2470,143,43.8,2.5,5639632,68.1,55,820,73,35,35,5,5,0,,0.234939759
4/27/20,Minnesota,3816,286,67.7,5.1,5639632,68.1,55,1346,143,42,40,5,5,0,,0.641463415
5/4/20,Minnesota,7234,428,128.3,7.6,5639632,68.1,55,3418,142,49,52,5,5,0,,1.539375929
,,,,,,,,,,,,,,,,,0.943197781
