date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,y2,% increase
3/9/20,Nevada,4,0,0.1,0,3080156,25.4,31,0,0,0,0,0,0,,,
3/16/20,Nevada,45,1,1.5,0,3080156,25.4,31,41,1,0,0,0,0,,,
3/23/20,Nevada,265,4,8.6,0.1,3080156,25.4,31,220,3,0,0,0,0,1,,4.365853659
3/30/20,Nevada,1044,18,33.9,0.6,3080156,25.4,31,779,14,0,0,0,0,1,,2.540909091
4/6/20,Nevada,1971,58,64,1.9,3080156,25.4,31,927,40,0,0,0,0,0,,0.189987163
4/13/20,Nevada,3036,114,98.6,3.7,3080156,25.4,31,1065,56,0,0,0,0,0,,0.148867314
4/20/20,Nevada,3830,163,124.3,5.3,3080156,25.4,31,794,49,0,0,0,0,0,,-0.254460094
4/27/20,Nevada,4708,219,152.9,7.1,3080156,25.4,31,878,56,0,0,0,0,0,,0.105793451
5/4/20,Nevada,5654,266,183.6,8.6,3080156,25.4,31,946,47,0,0,0,0,0,,0.077448747
,,,,,,,,,,,,,,,,,1.02491419
