date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,y2,percent increase
3/2/20,New York,1,0,0,0,19453561,417,187,0,0,5,5,0,0,,,
3/9/20,New York,142,0,0.7,0,19453561,417,187,141,0,7,6,1,1,,,
3/16/20,New York,950,10,4.9,0.1,19453561,417,187,808,10,7,7,1,1,1,,4.730496454
3/23/20,New York,20899,183,107.4,0.9,19453561,417,187,19949,173,21,20,2,2,1,,23.68935644
3/30/20,New York,67462,1512,346.8,7.8,19453561,417,187,46563,1329,30,29,3,3,0,,1.33410196
4/6/20,New York,132061,6130,678.9,31.5,19453561,417,187,64599,4618,30,29,5,5,0,,0.387346176
4/13/20,New York,197973,12998,1017.7,66.8,19453561,417,187,65912,6868,44,47,5,5,0,,0.020325392
4/20/20,New York,251608,18412,1293.4,94.7,19453561,417,187,53635,5414,45,48,7,7,0,,-0.186263503
4/27/20,New York,296991,22267,1526.7,114.5,19453561,417,187,45383,3855,54,57,7,7,0,,-0.153854759
5/4/20,New York,324357,24788,1667.3,127.4,19453561,417,187,27366,2521,67,69,7,7,0,,-0.396998876
,,,,,,,,,,,,,,,,,3.67806366
