date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,y2,percent
3/9/20,Ohio,3,0,0,0,11689100,283.2,146,0,0,1,1,0,0,,,
3/16/20,Ohio,50,0,0.4,0,11689100,283.2,146,47,0,2,1,0,0,,,
3/23/20,Ohio,444,6,3.8,0.1,11689100,283.2,146,394,6,5,6,0,0,1,,7.382978723
3/30/20,Ohio,1933,40,16.5,0.3,11689100,283.2,146,1489,34,13,11,1,1,1,,2.779187817
4/6/20,Ohio,4450,142,38.1,1.2,11689100,283.2,146,2517,102,17,14,1,1,0,,0.690396239
4/13/20,Ohio,6975,274,59.7,2.3,11689100,283.2,146,2525,132,21,17,1,1,0,,0.003178387
4/20/20,Ohio,12919,509,110.5,4.4,11689100,283.2,146,5944,235,21,17,1,1,0,,1.354059406
4/27/20,Ohio,16325,753,139.7,6.4,11689100,283.2,146,3406,244,21,17,1,1,0,,-0.426985195
5/4/20,Ohio,20474,1056,175.2,9,11689100,283.2,146,4149,303,23,18,1,1,0,,0.218144451
,,,,,,,,,,,,,,,,,1.714422833
