date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,y2,percent
3/9/20,Oklahoma,1,0,0,0,3956971,56.1,90,0,0,2,3,0,0,,,
3/16/20,Oklahoma,10,0,0.3,0,3956971,56.1,90,9,0,2,3,0,1,,,
3/23/20,Oklahoma,81,2,2.1,0.1,3956971,56.1,90,71,2,3,3,0,1,1,,6.888888889
3/30/20,Oklahoma,481,17,12.2,0.4,3956971,56.1,90,400,15,3,3,1,1,1,,4.633802817
4/6/20,Oklahoma,1326,51,33.5,1.3,3956971,56.1,90,845,34,4,4,1,1,0,,1.1125
4/13/20,Oklahoma,2069,98,52.3,2.5,3956971,56.1,90,743,47,4,4,2,4,0,,-0.120710059
4/20/20,Oklahoma,2680,143,67.7,3.6,3956971,56.1,90,611,45,4,4,2,4,0,,-0.177658143
4/27/20,Oklahoma,3280,197,82.9,5,3956971,56.1,90,600,54,4,4,2,4,0,,-0.018003273
5/4/20,Oklahoma,4044,238,102.2,6,3956971,56.1,90,764,41,4,4,2,4,0,,0.273333333
,,,,,,,,,,,,,,,,,1.798879081
