date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,y2,percent
3/2/20,Oregon,2,0,0.1,0,4217737,40.9,37,0,0,0,0,0,0,,,
3/9/20,Oregon,13,0,0.3,0,4217737,40.9,37,11,0,0,0,0,0,,,
3/16/20,Oregon,46,1,1.1,0,4217737,40.9,37,33,1,0,0,0,0,1,,2
3/23/20,Oregon,191,5,4.5,0.1,4217737,40.9,37,145,4,0,0,0,0,1,,3.393939394
3/30/20,Oregon,606,16,14.4,0.4,4217737,40.9,37,415,11,0,0,0,0,1,,1.862068966
4/6/20,Oregon,1132,29,26.8,0.7,4217737,40.9,37,526,13,0,0,0,0,0,,0.26746988
4/13/20,Oregon,1584,53,37.6,1.3,4217737,40.9,37,452,24,0,0,0,0,0,,-0.140684411
4/20/20,Oregon,1956,75,46.4,1.8,4217737,40.9,37,372,22,0,0,0,0,0,,-0.17699115
4/27/20,Oregon,2354,92,55.8,2.2,4217737,40.9,37,398,17,0,0,0,0,0,,0.069892473
5/4/20,Oregon,2759,109,65.4,2.6,4217737,40.9,37,405,17,0,0,0,0,0,,0.01758794
,,,,,,,,,,,,,,,,,0.911660386
