date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,y2,percent
3/9/20,Pennsylvania,10,0,0.1,0,12801989,285.5,176,0,0,10,10,0,0,,,
3/16/20,Pennsylvania,81,0,0.6,0,12801989,285.5,176,71,0,11,10,1,0,,,
3/23/20,Pennsylvania,644,6,5,0.1,12801989,285.5,176,563,6,13,13,1,0,1,,6.929577465
3/30/20,Pennsylvania,4156,48,32.5,0.4,12801989,285.5,176,3512,42,13,13,5,4,1,,5.238010657
4/6/20,Pennsylvania,13074,169,102.1,1.3,12801989,285.5,176,8918,121,24,23,5,4,0,,1.53929385
4/13/20,Pennsylvania,24295,563,189.8,4.4,12801989,285.5,176,11221,394,33,30,5,4,0,,0.258241758
4/20/20,Pennsylvania,34005,1366,265.6,10.7,12801989,285.5,176,9710,803,45,46,7,6,0,,-0.13465823
4/27/20,Pennsylvania,43728,1946,341.6,15.2,12801989,285.5,176,9723,580,53,59,7,6,0,,0.001338826
5/4/20,Pennsylvania,52992,2880,413.9,22.5,12801989,285.5,176,9264,934,62,68,8,7,0,,-0.047207652
,,,,,,,,,,,,,,,,,1.969228096
