date,state,fips,cases,deaths,Cases Per Capita,Deaths per capita,,State Population,,
1/21/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
1/22/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
1/23/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
1/24/20,Illinois,17,1,0, 0.01 , -   ,," 12,671,821 ",,
1/24/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
1/25/20,California,6,1,0, 0.00 , -   ,," 39,512,223 ",,
1/25/20,Illinois,17,1,0, 0.01 , -   ,," 12,671,821 ",,
1/25/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
1/26/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
1/26/20,California,6,2,0, 0.01 , -   ,," 39,512,223 ",,
1/26/20,Illinois,17,1,0, 0.01 , -   ,," 12,671,821 ",,
1/26/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
1/27/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
1/27/20,California,6,2,0, 0.01 , -   ,," 39,512,223 ",,
1/27/20,Illinois,17,1,0, 0.01 , -   ,," 12,671,821 ",,
1/27/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
1/28/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
1/28/20,California,6,2,0, 0.01 , -   ,," 39,512,223 ",,
1/28/20,Illinois,17,1,0, 0.01 , -   ,," 12,671,821 ",,
1/28/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
1/29/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
1/29/20,California,6,2,0, 0.01 , -   ,," 39,512,223 ",,
1/29/20,Illinois,17,1,0, 0.01 , -   ,," 12,671,821 ",,
1/29/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
1/30/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
1/30/20,California,6,2,0, 0.01 , -   ,," 39,512,223 ",,
1/30/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
1/30/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
1/31/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
1/31/20,California,6,3,0, 0.01 , -   ,," 39,512,223 ",,
1/31/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
1/31/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
2/1/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/1/20,California,6,3,0, 0.01 , -   ,," 39,512,223 ",,
2/1/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/1/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/1/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
2/2/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/2/20,California,6,6,0, 0.02 , -   ,," 39,512,223 ",,
2/2/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/2/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/2/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
2/3/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/3/20,California,6,6,0, 0.02 , -   ,," 39,512,223 ",,
2/3/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/3/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/3/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
2/4/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/4/20,California,6,6,0, 0.02 , -   ,," 39,512,223 ",,
2/4/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/4/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/4/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
2/5/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/5/20,California,6,6,0, 0.02 , -   ,," 39,512,223 ",,
2/5/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/5/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/5/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
2/5/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
2/6/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/6/20,California,6,6,0, 0.02 , -   ,," 39,512,223 ",,
2/6/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/6/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/6/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
2/6/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
2/7/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/7/20,California,6,6,0, 0.02 , -   ,," 39,512,223 ",,
2/7/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/7/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/7/20,Washington,53,1,0, 0.01 , -   ,," 7,614,893 ",,
