State,Bill Summary,Date of Enactment,Economic,Public Health,Adopted?
Alabama,SJR 40  Urges individuals to fist bump rather than shake hands. Enacted. ,2-Apr-20,FALSE,TRUE,FALSE
Alabama,SR 49  Urges Congress to fund additional rental assistance due to coronavirus. Adopted. ,12-Mar-20,TRUE,TRUE,TRUE
Alabama,"SR 60  Relates to no excuse absentee voting, Legislature urged to adopt. Adopted.",5-May-20,FALSE,FALSE,TRUE
Alabama,"HR 107  Urges the promotion, sharing and posting of practices to reduce the spread of infectious diseases. Pending. ",,FALSE,TRUE,FALSE
Alabama,HJR 121/HJR 122  Urges the Governor to expand Medicaid coverage for new mothers in response to the current COVID-19 pandemic. Pending. ,,TRUE,TRUE,FALSE
Alabama,SB 330  Relates to civil immunity; provides legislative findings; provides definitions; provides civil immunity for certain entities and individuals from certain damages claimed by individuals who allege that they contracted or were exposed to Coronavirus during a declared state of emergency; provides civil immunity for certain health care providers relating to the performance of certain health care services or treatment during the Coronavirus pandemic; provides for a statute of limitations for certain claims. Pending.,,TRUE,TRUE,FALSE
Alabama,"SB 342  Provides for an exclusion from Alabama tax for federal tax credits, advance refunds, or loan forgiveness received from the federal Coronavirus Aid, Relief, and Economic Security Act. Pending.",,TRUE,FALSE,FALSE
Alabama,SB 345  Relates to the Department of Corrections; requires the Commissioner of the Department of Corrections to review the inmate population and determine if an inmate is at high risk for severe complications from Coronavirus disease; requires the commissioner to release certain inmates to community supervision or home detention in certain circumstances; requires the commissioner to report monthly to the Joint Legislative Prison Oversight Committee the number of inmates identified and released as being at high risk. Pending.,,FALSE,TRUE,FALSE
Alabama,"HB 186  Makes supplemental appropriations; includes an appropriation of $5,000,000 from the general fund to the Department of Public Health to be used for coronavirus preparedness and response activities. Enacted. ",12-Mar-20,TRUE,TRUE,FALSE
Alabama,"HB 447  Relates to Medicaid; extends the program to provide assistance to certain state residents in recognition, in part, of potential economic and health impacts of a COVID-19 outbreak. Pending. ",,TRUE,TRUE,FALSE
Alabama,"HB 448  Relates to Medicaid; extends the postpartum coverage period for pregnant women eligible for Medicaid assistance in recognition, in part, of potential economic and health impacts of a COVID-19 outbreak. Pending. ",,TRUE,TRUE,FALSE
Alabama,"HB 464  Provides for an exclusion from Alabama income tax for federal tax credits or advance refunds received from the federal Coronavirus Aid, Relief, and Economic Security Act. Pending.",,TRUE,FALSE,FALSE
Alaska,"HCR 17  Suspends a specific rule of the Uniform Rules of the Alaska Legislature, in response to the COVID-19 pandemic. Pending.",,FALSE,TRUE,FALSE
Alaska,"HCR 20  Extends the governor’s declaration of public health disaster emergency, makes many other rule changes related to financing the response and the role of appointed officials. Adopted.",28-Mar-20,FALSE,TRUE,TRUE
Alaska,"HB 205  An Act making appropriations for the operating and loan program expenses of state government and for certain programs; appropriates $2.7 million to the city of Anchorage for response to COVID-19. Contingent upon the passage of SB 241 or a similar bill, appropriates $5 million from the general fund to the Alaska Housing Finance Corporation for the purpose of preventing homelessness caused by COVID-19; appropriates $75 million from the budget reserve fund to the Department of Health and Human Services for the purpose of responding to the COVID-19 public health disaster emergency. Enacted. ",7-Apr-20,TRUE,TRUE,FALSE
Alaska,"HB 206  Appropriates $4,091,100 from the general fund to the Department of Health and Social Services, division of public health, emergency programs, for fiscal years 2020 and 2021 if the cost of responding to and mitigating the risk of a COVID-19 outbreak in the state exceeds the amount appropriated through federal receipts. Enacted.",18-Mar-20,TRUE,TRUE,FALSE
Alaska,"HB 234  Appropriates a sum of $8,500,000 to the Department of Commerce, Community, and Economic Development for payment to municipalities impacted by commercial passenger vessel operations for responding to and mitigating the risk of a COVID-19 outbreak. Appropriates an amount not to exceed $15,000,000 from the general fund to the Department of Health and Social Services to respond and mitigate the risk of a COVID-19 outbreak. Enacted. ",7-Apr-20,TRUE,TRUE,FALSE
Alaska,HB 308  Relates to unemployment benefits during a period of state or national emergency resulting from a novel coronavirus disease (COVID-19) outbreak. Enacted.,26-Mar-20,TRUE,TRUE,FALSE
Alaska,HB 310  Tolls deadlines for action by the Regulatory Commission of Alaska during the public health emergency declaration; relates to disconnection of utility service for nonpayment; relates to regulatory assets of a utility; relates to evictions; relates to foreclosures. Pending.,,TRUE,TRUE,FALSE
Alaska,HB 311 Extends the governor’s declaration of a public health emergency. Pending.,,FALSE,TRUE,FALSE
Alaska,"HB 312  Relates to tolling deadlines for actions by state agencies; relates to income determinations for purposes of determining eligibility for certain public assistance programs; relates to forbearance from action against borrowers who owe money on state loans; relates to a temporary moratorium on certain mortgage foreclosures, certain evictions from rental properties, and disconnection of residential utilities. Pending. ",,TRUE,TRUE,FALSE
Alaska ,SCR 14  Authorizes the House of Representatives and the Senate to recess for a period of more than three days. Adopted.,26-Mar-20,FALSE,FALSE,TRUE
Alaska,"SB 241  Extends the March 11, 2020, governor's declaration of a public health disaster emergency in response to the COVID-19 pandemic; relates to the powers of the director of insurance; relates to standing orders issued by the chief medical officer; relates to professional licensing; relates to telemedicine and telehealth; relates to board of nursing fingerprint requirements; relates to the 2020 primary and general elections; relates to permanent fund dividend applications. Enacted. ",10-Apr-20,TRUE,TRUE,FALSE
