date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,y2,percent
3/9/20,Vermont,1,0,0.2,0,623989,68,7,0,0,3,3,0,0,,,
3/16/20,Vermont,12,0,1.9,0,623989,68,7,11,0,4,4,1,1,,,
3/23/20,Vermont,75,2,12,0.3,623989,68,7,63,2,4,4,1,1,1,,4.727272727
3/30/20,Vermont,256,12,41,1.9,623989,68,7,181,10,10,7,8,5,1,,1.873015873
4/6/20,Vermont,543,23,87,3.7,623989,68,7,287,11,10,7,8,5,0,,0.585635359
4/13/20,Vermont,748,28,119.9,4.5,623989,68,7,205,5,10,7,8,5,0,,-0.285714286
4/20/20,Vermont,816,38,130.8,6.1,623989,68,7,68,10,12,9,8,5,0,,-0.668292683
4/27/20,Vermont,855,47,137,7.5,623989,68,7,39,9,13,12,8,5,0,,-0.426470588
5/4/20,Vermont,902,53,144.6,8.5,623989,68,7,47,6,14,13,10,8,0,,0.205128205
,,,,,,,,,,,,,,,,,0.858653515
