date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,y2,percent
3/9/20,Virginia,5,0,0.1,0,8535519,209.2,90,0,0,2,3,0,0,,,
3/16/20,Virginia,51,1,0.6,0,8535519,209.2,90,46,1,2,3,0,0,,,
3/23/20,Virginia,254,6,3,0.1,8535519,209.2,90,203,5,2,3,0,0,1,,3.413043478
3/30/20,Virginia,1020,26,12,0.3,8535519,209.2,90,766,20,2,3,0,0,1,,2.773399015
4/6/20,Virginia,2877,54,33.7,0.6,8535519,209.2,90,1857,28,2,3,0,0,0,,1.424281984
4/13/20,Virginia,5746,149,67.3,1.8,8535519,209.2,90,2869,95,2,3,0,0,0,,0.544964997
4/20/20,Virginia,8989,300,105.3,3.5,8535519,209.2,90,3243,151,2,3,0,0,0,,0.13035901
4/27/20,Virginia,13534,458,158.6,5.4,8535519,209.2,90,4545,158,2,3,2,3,0,,0.401480111
5/4/20,Virginia,19492,684,228.4,8,8535519,209.2,90,5958,226,2,3,2,3,0,,0.310891089
,,,,,,,,,,,,,,,,,1.285488526
