date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,pop_density,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,y1,y2,percent
1/27/20,Washington,1,0,0,0,7614893,104.9,62,0,0,4,4,0,0,,,
2/3/20,Washington,1,0,0,0,7614893,104.9,62,0,0,4,4,0,0,,,
2/10/20,Washington,1,0,0,0,7614893,104.9,62,0,0,4,4,0,0,,,
2/17/20,Washington,1,0,0,0,7614893,104.9,62,0,0,4,4,0,0,,,
2/24/20,Washington,5,0,0.1,0,7614893,104.9,62,4,0,4,4,0,0,,,
3/2/20,Washington,23,6,0.3,0,7614893,104.9,62,18,6,6,5,1,0,1,,3.5
3/9/20,Washington,179,22,2.4,0.3,7614893,104.9,62,156,16,6,6,1,0,1,,7.666666667
3/16/20,Washington,794,48,10.4,0.6,7614893,104.9,62,615,26,6,6,1,0,1,,2.942307692
3/23/20,Washington,2101,110,27.6,1.4,7614893,104.9,62,1307,62,6,6,4,3,0,,1.125203252
3/30/20,Washington,5179,221,68,2.9,7614893,104.9,62,3078,111,6,6,4,3,0,,1.355011477
4/6/20,Washington,8384,383,110.1,5,7614893,104.9,62,3205,162,6,6,6,5,0,,0.041260559
4/13/20,Washington,10538,525,138.4,6.9,7614893,104.9,62,2154,142,6,6,6,5,0,,-0.327925117
4/20/20,Washington,12191,661,160.1,8.7,7614893,104.9,62,1653,136,6,6,6,5,0,,-0.232590529
4/27/20,Washington,13864,771,182.1,10.1,7614893,104.9,62,1673,110,6,6,6,5,0,,0.012099214
5/4/20,Washington,15905,846,208.9,11.1,7614893,104.9,62,2041,75,6,6,6,5,0,,0.219964136
,,,,,,,,,,,,,,,,,1.630199735
